"locus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PROKKA_01345_sense"	20.3872647596748	-0.422442177279848	0.288843623394952	-1.45342354701721	0.146106192580748	0.99757717113624
"PROKKA_01346_sense"	66.4972077876493	-0.282861024143258	0.256951016708412	-1.09966398275236	0.271478553128063	0.999614234190279
"PROKKA_01346_antis"	10.5403270310752	-0.267239182161035	0.291234053936038	-0.913762587984788	0.360841608736913	0.999614234190279
"PROKKA_01347_sense"	45.3942068397862	-0.0448522787414288	0.270037225199251	-0.165845890152095	0.86827823104046	0.999614234190279
"PROKKA_01347_antis"	2.49840196078237	0.18352808686293	0.230659095113218	0.795678799768492	0.426218752230955	NA
"PROKKA_01348_sense"	17.311290692182	-0.0295145214635097	0.289847101247958	-0.101881652380304	0.918850613452515	0.999614234190279
"PROKKA_01348_antis"	2.2719536266586	-0.0645392690165498	0.213813579412266	-0.296959190780996	0.766497665490584	NA
"PROKKA_01349_sense"	291.35515902358	-0.0154571374097015	0.247248903237364	-0.0625104514964256	0.950156339127974	0.999614234190279
"PROKKA_01349_antis"	8.05750449857659	-0.270574678822352	0.285586838918992	-0.940897764382386	0.346757253406246	NA
"PROKKA_01350_igbot"	2.45384653014894	0.416218139957801	0.224526815787165	1.88371318387447	0.0596037821399853	NA
"PROKKA_01350_sense"	3.67433142360917	0.102354963555664	0.253248703652005	0.397477437471253	0.691015421404065	NA
"PROKKA_01351_sense"	2.2310266832419	-0.0703952743555896	0.213386746824995	-0.323224128797903	0.746525508689596	NA
"PROKKA_01351_antis"	7.37797963572605	0.306728103920116	0.283957631605157	1.07882001753739	0.280667969459887	NA
"PROKKA_01352_sense"	5.88580873834818	0.0289094392053978	0.280391337391285	0.103113537920068	0.917872860591234	NA
"PROKKA_01353_sense"	5.63715730159563	0.0731015109029439	0.271845738666069	0.268976754182127	0.787947571139079	NA
"PROKKA_01353_antis"	2.71149189772322	0.0815818882434074	0.227818217780948	0.367271644292571	0.713416402979052	NA
"PROKKA_01354_sense"	7.16900029598673	-0.19611443207082	0.284695817123794	-0.686334530980795	0.492502178603643	NA
"PROKKA_01355_sense"	15.6599230027487	-0.211644631120878	0.292364126459481	-0.723226062669592	0.469541009142738	0.999614234190279
"PROKKA_01356_igbot"	2.97683699379367	0.100272513390814	0.24139953713786	0.413587815581102	0.679175998070158	NA
"PROKKA_01356_sense"	181.652434115711	-0.0890477656115269	0.236744222163582	-0.376210379274915	0.706760499735985	0.999614234190279
"PROKKA_01357_igbot"	1.99837745594549	0.0750743952666497	0.209159261480845	0.361589229819545	0.717659014203869	NA
"PROKKA_01357_sense"	5.12625781915694	-0.0519479350623666	0.269537445511941	-0.191242677265539	0.848335468984733	NA
"PROKKA_01358_sense"	34.2630582711744	-0.0230613545927373	0.283497452733019	-0.0812901709303094	0.93521119058244	0.999614234190279
