"locus"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"PROKKA_00043_antis"	83.8373366555452	-0.117829226560987	0.180073967897601	0.088668899724058	0.666192136726933
"PROKKA_00044_igtop"	386.28872296308	-0.00768720443582248	0.127163865441187	0.896225348982583	0.997031032297927
"PROKKA_00044_igbot"	428.078325131247	-0.0453206709532619	0.152883515861577	0.416804810577935	0.952237983593377
"PROKKA_00044_sense"	8.23069665897429	0.0183840212940918	0.186410742093265	0.677787550911299	0.986053833939652
"PROKKA_00045_igtop"	1359.28212560441	-0.0596558278868567	0.138103134128448	0.337051997445419	0.919761762629856
"PROKKA_00045_igbot"	105.355372961263	-0.136819493924962	0.200231200134226	0.0597741903993799	0.573850539493395
"PROKKA_00045_sense"	6.69532769936266	-0.00268792557673287	0.179795106232916	0.950735960022704	0.997031032297927
"PROKKA_00045_antis"	8.1556790269974	0.108994453586117	0.311184403853937	0.0967891261995652	0.686714654261808
"PROKKA_00046_igtop"	6.07606821938185	0.108797533617462	0.333051999130594	0.0988491007872797	0.688944197186795
"PROKKA_00046_igbot"	3.05813960522683	0.0137093882423653	0.215233944290583	0.745956656576223	NA
"PROKKA_00046_sense"	19.9432454186925	0.205946851328269	0.354343363457112	0.0248176237510535	0.393575623116994
"PROKKA_00046_antis"	1.76485521577913	0.00945182020862874	0.246135220811601	0.818322928558083	NA
"PROKKA_00047_sense"	2.08621828360613	0.0816134487864211	0.376138803036309	0.144484796083365	NA
"PROKKA_00047_antis"	8.40826347381762	-0.0173369930392992	0.176692820290559	0.701239025601264	0.990221318019687
"PROKKA_00048_sense"	1.96641634946182	-0.0110481972199629	0.241108887072545	0.789882808046421	NA
"PROKKA_00049_igtop"	2.58614165074918	-0.024975047944363	0.239578069873464	0.565751578378737	NA
"PROKKA_00049_igbot"	10.5906288569636	0.0224988711060123	0.17294406082712	0.629208801844313	0.983176994907783
"PROKKA_00049_sense"	9.54816604007831	-0.00100340647093842	0.170455098138761	0.982170037025791	0.998125006130868
"PROKKA_00049_antis"	4.65969564175245	0.0133395941576567	0.205529962841672	0.753820371591491	NA
"PROKKA_00050_igtop"	95.452666954871	-0.0472881811590626	0.14917767490129	0.408356607925043	0.950525520012069
"PROKKA_00050_igbot"	6.17657961563442	-0.0416803949878506	0.216776896904115	0.379687338129152	0.941025515248211
"PROKKA_00050_sense"	215.512175299527	-0.0717602905562755	0.150361923513634	0.248279859989309	0.871226056055567
"PROKKA_00050_antis"	3.69319029315062	-0.0354400894336967	0.245717751119206	0.43650983169256	NA
"PROKKA_00051_igtop"	8.44182336141217	0.00600740559981194	0.177119877161256	0.891349541897578	0.997031032297927
"PROKKA_00051_sense"	25.9486454630792	0.00243702272108211	0.151605360849751	0.96129317035728	0.997031032297927
"PROKKA_00052_sense"	15.2682956950459	0.0371555001786259	0.171386050344553	0.456575794136309	0.963660587557022
"PROKKA_00053_antis"	4.25377846004801	-0.0391146754031601	0.232779650135602	0.40077778058177	NA
"PROKKA_00054_igtop"	1.69680963547815	-0.0502947767772962	0.314852961722534	0.288737913164159	NA
"PROKKA_00054_sense"	2.04176942670944	-0.0488185979053717	0.300950302828463	0.306277490335585	NA
"PROKKA_00054_antis"	6.17315654000691	0.00167897031839193	0.188493276807077	0.968604867554041	0.997031032297927
"PROKKA_00055_igtop"	8.61403780960714	-0.0164753177864846	0.174846033531136	0.71632249953593	0.990221318019687
"PROKKA_00055_igbot"	2.6417017417915	-0.0569046555427138	0.305784096048764	0.257072142842484	NA
"PROKKA_00055_sense"	6.85428910394857	0.0390610386798983	0.205916843694971	0.407691046497557	0.950525520012069
"PROKKA_00055_antis"	2.313435842104	-0.0141064659757513	0.238667441995808	0.736100508697383	NA
"PROKKA_00056_antis"	7.56205291949212	-0.0366159278042242	0.20003373106743	0.434762202284505	0.960275721914636
"PROKKA_00057_igtop"	10.1587820559917	-0.0245942469517212	0.176082082721681	0.596802861578636	0.978274852137194
"PROKKA_00057_igbot"	47.8488202675903	0.0628596305544122	0.157605765921193	0.284523759809344	0.894657188515093
"PROKKA_00057_antis"	2.42276845185857	-0.0313717222641204	0.249647029391918	0.481573349569772	NA
"PROKKA_00059_igbot"	6.61427361078261	-0.0524364930123628	0.224853411497886	0.293952035502968	0.898711312786138
"PROKKA_00059_sense"	16.0209996731583	-0.0695229176692378	0.198374369371344	0.210411434628505	0.846755283533136
"PROKKA_00060_igbot"	17.6801107461468	-0.106188043081294	0.238892551713184	0.0982846044761451	0.688944197186795
"PROKKA_00060_sense"	32.2014291211165	0.0375894676718381	0.158714216919903	0.475289631460133	0.967259102845676
"PROKKA_00061_sense"	11.5715480698152	0.0431016074459618	0.190259050489062	0.379932497842504	0.941025515248211
"PROKKA_00064_sense"	2.09607841047605	-0.00495876750708001	0.22882641815014	0.904594333904852	NA
"PROKKA_00065_igtop"	31.0158697656513	-0.0648024734720503	0.168479782602577	0.25801058673984	0.875984663344179
"PROKKA_00065_sense"	23.8588744387391	0.113966400401867	0.228007694781166	0.0859922686905785	0.657977351147514
"PROKKA_00067_sense"	1.71432890239192	0.0182081497750347	0.265491631622723	0.65968597806696	NA
"PROKKA_00068_igbot"	5.03806801734119	0.0110633207881925	0.192931506599157	0.796376045901406	NA
"PROKKA_00068_sense"	10.4709399941777	-0.00808198172620238	0.167314296979575	0.860019153423315	0.997031032297927
"PROKKA_00068_antis"	7.4835886202034	0.0319278141264038	0.193481795657963	0.489708370427316	0.967259102845676
"PROKKA_00069_sense"	20.5210793497467	-0.00562770969289645	0.154507574394605	0.909092764177089	0.997031032297927
"PROKKA_00069_antis"	7.3342952365323	0.0560626790307825	0.226952613646334	0.270456784888254	0.887991948862885
"PROKKA_00070_sense"	19.2490118251527	0.0425121098330722	0.171817205281168	0.405561224008649	0.950525520012069
"PROKKA_00070_antis"	2.57015104619084	-0.00214990336763435	0.225728041080172	0.95854202636017	NA
"PROKKA_00071_sense"	35.8126977918915	-0.0834494039920862	0.176441122249297	0.171721107409561	0.809923157938811
"PROKKA_00072_igtop"	13.0130929359261	0.104780653108128	0.262210439754009	0.100866600837069	0.693126892399695
"PROKKA_00072_sense"	277.851963240172	0.00316480728244505	0.122995500580148	0.957828744907865	0.997031032297927
